Linux 2.6.32-279.22.1.el6.x86_64 (Delta3.fbu.lab.emc.com) 	05/02/2013 	_x86_64_	(32 CPU)

01:53:01 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
01:53:04 PM  all    1.73    0.00    0.98    1.32    0.00    0.01    0.00    0.00   95.95
01:53:04 PM    0   40.82    0.00   16.33   42.52    0.00    0.00    0.00    0.00    0.34
01:53:04 PM    1    1.33    0.00    0.67    0.00    0.00    0.00    0.00    0.00   98.00
01:53:04 PM    2    1.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00   98.67
01:53:04 PM    3    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.33
01:53:04 PM    4    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.33
01:53:04 PM    5    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
01:53:04 PM    6    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
01:53:04 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:04 PM    8    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   98.00
01:53:04 PM    9    1.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00   98.33
01:53:04 PM   10    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.33
01:53:04 PM   11    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.67
01:53:04 PM   12    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.34
01:53:04 PM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:04 PM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:04 PM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:04 PM   16    0.67    0.00    0.33    0.33    0.00    0.00    0.00    0.00   98.66
01:53:04 PM   17    1.67    0.00    1.67    0.00    0.00    0.00    0.00    0.00   96.66
01:53:04 PM   18    1.33    0.00    1.33    0.00    0.00    0.00    0.00    0.00   97.33
01:53:04 PM   19    0.67    0.00    1.01    0.00    0.00    0.00    0.00    0.00   98.32
01:53:04 PM   20    0.33    0.00    0.67    0.00    0.00    0.00    0.00    0.00   99.00
01:53:04 PM   21    0.67    0.00    0.67    0.00    0.00    0.00    0.00    0.00   98.67
01:53:04 PM   22    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.67
01:53:04 PM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:04 PM   24    0.66    0.00    1.00    0.00    0.00    0.00    0.00    0.00   98.34
01:53:04 PM   25    1.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00   98.33
01:53:04 PM   26    0.67    0.00    1.34    0.00    0.00    0.00    0.00    0.00   97.99
01:53:04 PM   27    0.33    0.00    1.00    0.00    0.00    0.00    0.00    0.00   98.67
01:53:04 PM   28    0.67    0.00    1.00    0.00    0.00    0.00    0.00    0.00   98.33
01:53:04 PM   29    0.33    0.00    0.66    0.00    0.00    0.00    0.00    0.00   99.00
01:53:04 PM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:53:04 PM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

01:53:04 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
01:53:07 PM  all    1.87    0.00    1.04    1.31    0.00    0.00    0.00    0.00   95.78
01:53:07 PM    0   43.10    0.00   16.84   40.07    0.00    0.00    0.00    0.00    0.00
01:53:07 PM    1    1.34    0.00    1.34    0.00    0.00    0.00    0.00    0.00   97.32
01:53:07 PM    2    0.67    0.00    1.00    0.00    0.00    0.00    0.00    0.00   98.33
01:53:07 PM    3    0.67    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.00
01:53:07 PM    4    0.67    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.00
01:53:07 PM    5    0.66    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.00
01:53:07 PM    6    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
01:53:07 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
