procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10  1      0 44119672 235028 19955268    0    0   822   887    0    5  1  0 96  2  0	
 2  1      0 43799056 235028 20116216    0    0 53179 33877 8481 15448  2  1 96  1  0	
 7  0      0 43465936 235036 20282956    0    0 54859 14370 8805 15935  2  1 96  1  0	
 3  1      0 43131624 235036 20448452    0    0 54875 14013 8692 15921  2  1 96  1  0	
 1  1      0 42798048 235036 20613036    0    0 53685 14057 8548 15979  2  1 96  1  0	
 0  1      0 42463164 235036 20779464    0    0 55149 15041 8728 16157  2  1 96  1  0	
 2  1      0 42128340 235048 20945244    0    0 54909 14571 8768 16007  2  1 96  1  0	
 1  0      0 41937744 235052 21110088    0    0 54541 14358 7883 14645  2  1 97  1  0	
 0  1      0 41774616 235056 21271784    0    0 54219 14489 7669 14521  1  1 97  1  0	
 1  1      0 41619164 235056 21428640    0    0 52725 14362 7390 14069  1  0 97  1  0	
 2  1      0 41457144 235060 21590232    0    0 54173 14334 7710 14492  1  1 97  1  0	
 0  1      0 41295684 235060 21750428    0    0 53840 14241 7587 14355  1  1 97  1  0	
 1  0      0 41133772 235064 21912248    0    0 54368 14627 7710 14552  1  1 97  1  0	
 2  0      0 40976676 235064 22072824    0    0 54229 14788 7692 14477  1  1 97  1  0	
 8 123      0 38487016 235068 23486688    0    0 386637 139519 17722 87042 16  9 56 19  0	
 0 44      0 36551376 235076 24632116    0    0 741552 432726 20022 173057 18 14  2 66  0	
 6 123      0 35908716 235084 24639428    0    0 664747 425951 16878 163045 17  9 10 64  0	
 2 126      0 35330264 235088 24645468    0    0 621094 431000 16861 158663 17  9 23 51  0	
 4 128      0 34815304 235092 24652628    0    0 714760 445516 16440 169619 17  9  7 67  0	
31 35      0 34510080 235092 24655024    0    0 406909 482216 17139 377597 10 10 44 36  0	
 6 12      0 34159672 235100 24656136    0    0 563365 405193 18040 416089 10 12 32 45  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18 90      0 33220884 235104 24656628    0    0 1268096 123182 24401 631692 17 25 18 39  0	
13 15      0 33068064 235108 24656656    0    0 683611 349523 23727 485876 11 15 32 43  0	
 2 11      0 33020272 235108 24656660    0    0 318835 485251 22818 390270  7  9 42 41  0	
11 18      0 32956180 235116 24656668    0    0 367571 451629 23034 410545  8  9 44 39  0	
 5 30      0 32911440 235120 24656668    0    0 448611 418492 23765 422328  9 10 44 37  0	
 2 12      0 32880944 235120 24656676    0    0 428283 399849 22634 413519  8 10 46 36  0	
10 41      0 32861716 235124 24656768    0    0 414048 454815 16987 349417  8  9 54 29  0	
 0  0      0 32827624 235128 24658532    0    0 475539 367100 16038 350402 11  9 49 31  0	
 1  0      0 32805940 235128 24661432    0    0 310136 359435 13483 254436 11  8 63 18  0	
28 108      0 32781876 235132 24664788    0    0 334134 313626 14023 233927 12  8 66 14  0	
 3  1      0 32693852 235140 24667732    0    0 372837 304894 14026 243326 12  8 65 14  0	
29 85      0 32624900 235156 24672220    0    0 373635 320294 13847 236622 12  8 65 14  0	
 0 11      0 32599852 235156 24674868    0    0 376939 327313 13894 247510 12  8 58 22  0	
 1 43      0 32572836 235172 24679980    0    0 386456 310520 14244 234189 13  8 63 15  0	
103 80      0 32551648 235172 24683232    0    0 336768 338398 12736 220634 11  7 64 18  0	
27 109      0 32535048 235184 24686928    0    0 417064 347751 13834 228446 12  8 53 27  0	
 3 16      0 32511496 235184 24689648    0    0 783536 420099 19356 458317 13 12 19 56  0	
19 72      0 32492360 235200 24690204    0    0 1197477 174218 22541 616395 16 21 22 40  0	
 4 18      0 32462740 235200 24690248    0    0 1193171 176729 23736 638770 15 21 19 45  0	
 5 13      0 32451820 235208 24690248    0    0 257885 494593 21870 359151  7  8 50 35  0	
 6 13      0 32446860 235208 24690252    0    0 303675 469588 22501 381821  7  8 47 37  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10 17      0 32442024 235212 24690272    0    0 402203 423536 22966 407904  8  9 44 38  0	
16 75      0 32433964 235212 24690276    0    0 546909 382259 23226 466290 10 11 41 39  0	
 8 22      0 32447240 235216 24690432    0    0 440384 208292 17617 246520  9  6 55 29  0	
10  1      0 32436940 235216 24692824    0    0 314224 470339 18199 307519 13  8 58 22  0	
 0  4      0 32426152 235232 24695988    0    0 364987 343522 13867 260577 11  7 62 19  0	
 3 12      0 32416844 235240 24700092    0    0 388997 312684 14154 243157 13  8 65 14  0	
32 77      0 32412396 235240 24704176    0    0 338651 364571 12692 224150 11  7 66 15  0	
 0  1      0 32407188 235248 24707384    0    0 394613 347401 14182 247414 12  8 62 18  0	
 2  5      0 32402096 235252 24711504    0    0 420635 332713 14628 249174 14  8 60 18  0	
14  6      0 32394904 235260 24715848    0    0 398493 309398 13771 245530 13  8 63 17  0	
25 81      0 32389316 235268 24719660    0    0 326485 344801 11709 194819 11  6 66 17  0	
